StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
      103,      00,   196501,   3.66,   30.8,    .39,  -2.63,   1.18,   -2.1,      0,   1129,     .6,    .53,    .32,   -.48,  -1.02,   -.09,  -1.44,   20.7,     41,
      105,      00,   196501,   1.09,   17.7,   1.08,   1.08,   1.06,   1.08,      0,   1434,    .82,   1.95,   1.35,   -.14,    .41,    .56,    .32,    7.4,   27.9,
      109,      00,   196501,   2.59,   39.5,   2.24,   2.24,   1.19,   2.24,      0,    553,    .04,   1.15,   1.29,   1.05,   1.16,    .09,    .45,   30.3,   48.7,
      102,      00,   196501,   1.19,   10.8,     .2,  -2.01,     .6,  -1.38,      0,   1540,    .29,    .02,   -.16,    -.1,   -.37,   -.25,  -1.11,     .8,   20.8,
      108,      00,   196501,   6.47,   30.1,   3.68,   3.68,   2.51,   3.68,      0,    914,    1.2,   2.49,   2.39,   1.94,   1.91,   1.25,   1.57,   24.4,   35.7,
      106,      00,   196501,   1.97,   45.1,  -2.97,  -2.97,  -1.13,  -2.97,     17,    534,   -.19,   -.47,    .04,    .14,   -.71,   -.41,  -1.52,   32.5,   57.6,
      101,      00,   196501,   2.68,   18.7,  -4.76,  -4.76,   -.57,  -4.76,      0,   1277,   -.26,    .03,   -.41,   -1.9,  -2.69,  -2.26,  -2.32,    9.3,   28.1,
      107,      00,   196501,   1.08,   35.2,    .58,  -1.92,    .25,   -.99,      0,    827,    .38,    .62,    .72,   -.25,   -.54,   -.62,  -1.02,   23.3,   47.1,
      104,      00,   196501,   2.57,   45.8,   2.71,   2.71,  -1.72,   1.97,     28,    567,   -.93,   -.07,   -.24,    .93,    .75,   1.44,    .77,   33.7,   57.9,
      106,      00,   196502,   3.23,   43.1,  -2.22,  -2.22,   1.34,  -1.61,      5,    523,   1.14,     .6,     .2,    .23,   -.23,   -.16,  -1.29,   30.8,   55.5,
      102,      00,   196502,   1.29,   13.3,    .48,   -1.5,    .91,   -.52,      0,   1334,    .66,    .51,    .23,   -.31,   -.37,    .01,  -1.01,    2.3,   24.4,
      109,      00,   196502,    .62,   41.4,   1.34,   1.34,  -2.01,    .38,      0,    484,  -1.48,   -.91,    .42,    .44,    .49,    .17,    .12,     29,   53.8,
      108,      00,   196502,   2.35,   33.2,   -.61,   2.69,  -1.82,   1.92,      0,    736,   -.76,    .39,   2.19,   1.41,   1.79,   1.44,   1.25,   24.6,   41.8,
      103,      00,   196502,    2.9,   31.8,     .5,  -2.21,    .45,  -1.46,      0,    987,    .34,    .59,    .58,    -.4,   -.63,    .02,  -1.22,   20.5,   43.1,
      104,      00,   196502,   5.09,   47.1,   2.95,   2.95,   1.57,   2.78,     34,    468,     .8,   -.05,    .33,    .92,   1.28,    1.4,    .96,   35.6,   58.5,
      105,      00,   196502,    .65,     19,      1,      1,     .1,    .96,      0,   1273,   -.62,    .24,    1.6,   -.54,    .48,    .57,    .28,    7.3,   30.8,
      101,      00,   196502,   2.86,   22.1,  -4.18,  -4.18,    .26,  -4.03,      0,   1050,    .25,   -.15,    .09,  -1.65,  -2.18,  -2.11,  -2.16,   11.6,   32.6,
      107,      00,   196502,    .93,   33.7,    .68,  -1.56,    .48,   -.43,      1,    792,    .03,     .2,    .47,   -.12,    -.5,    -.4,  -1.05,   20.2,   47.2,
      103,      00,   196503,   3.99,   35.1,     .8,  -1.63,   1.05,   -.44,      0,    974,    .21,    .31,    .54,   -.28,   -.44,   -.48,  -1.41,   25.8,   44.3,
      109,      00,   196503,   1.08,     44,    .72,    .72,  -1.44,   -.86,      0,    477,   -.88,   -1.7,  -1.23,    .21,    .08,    .13,    -.1,   31.9,     56,
      102,      00,   196503,   2.45,   19.8,   1.06,   -.73,   1.87,    .88,      0,   1306,   1.15,   1.26,   1.18,   -.62,    .17,     .3,   -.92,   10.4,   29.1,
      107,      00,   196503,   1.04,   36.5,     .9,   -1.1,    .89,    .33,      3,    817,    .03,   -.05,    .12,   -.19,   -.38,   -.38,     -1,   23.5,   49.6,
      108,      00,   196503,    .73,   34.3,  -1.81,   1.15,  -3.81,  -1.13,      0,    741,  -3.09,  -2.49,   -.67,    .78,    .86,    .86,    .94,     22,   46.6,
      105,      00,   196503,    .73,   18.6,    .74,    .74,   -.45,    .27,      0,   1372,   -1.4,  -1.75,   -.74,   -.59,   -.78,    .45,    .21,    7.4,   29.7,
      104,      00,   196503,   5.88,   51.8,   3.25,   3.25,   1.82,   3.25,     48,    397,    .86,    1.1,    .43,   1.07,   1.64,   1.44,   1.18,     41,   62.6,
      101,      00,   196503,   2.16,   30.2,  -4.36,  -4.36,  -1.81,  -4.36,      0,    950,  -1.23,   -.81,   -.97,  -1.43,  -2.03,  -2.55,  -2.22,   21.5,     39,
      106,      00,   196503,   2.29,   45.6,  -1.82,  -1.82,    .52,   -.96,     11,    500,    -.4,    .46,    .22,   -.24,   -.04,   -.35,  -1.22,     34,   57.2,
      109,      00,   196504,   3.05,     50,   1.75,   1.75,   3.32,   1.51,      3,    352,   1.74,    .47,   -.54,    .66,     .5,    .61,   -.12,   39.6,   60.5,
      108,      00,   196504,   3.08,   44.5,    .35,   1.38,   1.05,    -.4,      0,    507,    .84,  -1.27,  -1.55,   1.25,    .93,   1.05,    .85,   33.9,   55.1,
      101,      00,   196504,   2.54,   41.2,  -4.27,  -4.27,  -1.09,  -4.27,      0,    608,   -.86,  -1.56,   -1.2,  -1.17,  -2.15,  -2.73,  -1.99,   30.6,   51.8,
