StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
      108,      00,   195001,   6.77,   17.9,    .96,  -1.06,   2.89,    .29,      0,   1319,   1.35,    .68,    .53,    .29,    .03,    .08,     .7,   10.3,   25.5,
      106,      00,   195001,   3.14,   47.4,   1.68,   1.68,    .79,     .8,     48,    450,    .98,    .78,   -.57,    .21,    .56,    .84,    .62,   35.8,     59,
      101,      00,   195001,   3.99,   30.1,     .5,  -2.94,   1.51,   -2.3,      0,    901,    .88,    .28,   -.13,   -.61,  -1.15,  -1.39,   -.44,   20.4,   39.8,
      105,      00,   195001,   1.38,    3.5,    .46,    .46,   1.37,    .46,      0,   1781,   1.59,   1.23,    .26,    .12,    -.1,   -.34,     .1,   -7.6,   14.6,
      104,      00,   195001,   2.45,   56.9,  -1.55,    .77,  -3.17,   -1.3,     88,    310,  -1.04,  -1.28,   -1.5,   -.25,    .07,    .09,   1.43,   46.4,   67.3,
      107,      00,   195001,     .9,   31.5,    -.9,    .85,   -.28,    -.6,      0,    962,    .06,    .02,   -.63,   -.79,    .24,      0,    .09,     18,   45.1,
      109,      00,   195001,   3.66,   33.2,   -2.1,   -2.1,    .31,   -1.9,      0,    743,    .59,   -.04,    -.3,   -.69,   -.54,   -.69,   -.78,   23.1,   43.3,
      102,      00,   195001,   2.22,   10.6,     .8,  -1.59,   2.41,   -.51,      0,   1445,   1.85,   1.79,     .6,   -.58,   -.07,   -.37,   -.81,    -.4,   21.5,
      103,      00,   195001,   8.52,   38.2,   4.02,   4.02,   7.11,   4.02,      4,    892,   2.72,   2.84,   1.84,   1.69,   1.62,   1.19,   1.69,   28.3,   48.2,
      103,      00,   195002,   4.27,   34.7,   4.39,   4.39,   2.36,   4.39,      0,    921,   1.44,   3.09,   3.09,   2.43,   2.65,   1.47,   1.82,   25.2,   44.2,
      106,      00,   195002,   3.06,   49.6,   1.95,   1.95,   1.33,   1.52,     24,    362,    .96,   1.25,   1.05,    .55,    .74,    .93,    .61,   36.9,   62.3,
      109,      00,   195002,   1.75,   42.4,   -2.4,   -2.4,  -1.54,   -2.4,      0,    468,   -.43,    .11,   -.35,   -.85,   -.99,   -.79,   -.66,   30.1,   54.6,
      104,      00,   195002,   2.24,   51.4,  -2.28,  -2.28,  -2.64,  -2.28,     39,    384,  -1.24,  -1.63,  -1.69,  -1.65,   -.29,   -.29,   1.16,   39.5,   63.3,
      107,      00,   195002,    .66,   38.4,  -1.29,  -1.29,  -1.43,  -1.29,      4,    660,   -.61,    -.4,    -.3,    -.5,   -.15,   -.02,   -.18,     24,   52.8,
      105,      00,   195002,    .66,   21.8,    .29,    .29,   -.35,   -.37,      0,   1188,   -.57,    .94,    .88,    .43,   -.34,   -.42,   -.03,   10.4,   33.2,
      102,      00,   195002,   1.21,   15.9,    .96,  -1.19,    .71,    .19,      0,   1284,    .49,   1.82,   1.88,    .02,     .2,   -.31,    -.9,    5.3,   26.4,
      101,      00,   195002,   3.41,   21.6,    .89,   -2.2,   1.32,     -1,      0,   1058,    .81,   1.14,     .6,   -.32,  -1.02,  -1.22,   -.26,   12.5,   30.8,
      108,      00,   195002,    4.1,     30,   1.18,   -.63,    .95,   1.08,      0,    819,    .49,   1.34,    .77,     .5,    .11,   -.32,    .61,   21.7,   38.3,
      105,      00,   195003,   1.64,     25,    .74,    .74,   1.43,    .74,      0,   1174,   1.36,    .89,   1.61,    1.3,    .23,   -.29,    .18,   14.6,   35.3,
      101,      00,   195003,    3.9,   27.3,   1.18,   -1.6,   1.13,    .02,      0,   1019,    .48,    .84,   1.19,   -.14,   -.31,   -.76,    -.2,   16.8,   37.8,
      104,      00,   195003,   4.78,   51.9,  -1.89,  -1.89,    .45,  -1.62,     43,    392,    .17,   -.66,  -1.06,   -1.3,   -.39,    .03,     .8,     40,   63.7,
      103,      00,   195003,   3.23,   38.7,    3.8,    3.8,   -.42,   3.58,      0,    879,   -.38,    .65,   2.52,   2.37,   1.89,   1.35,   1.48,   28.2,   49.3,
      107,      00,   195003,    .58,   41.8,  -1.73,  -1.73,  -1.72,  -1.73,     11,    647,  -1.03,  -1.14,   -.88,   -.95,   -.93,    -.2,   -.45,     27,   56.5,
      108,      00,   195003,   5.07,   34.3,   2.08,   2.08,   3.07,   2.08,      0,    789,   1.39,   1.18,    1.8,    .94,    .73,    .27,    .92,   26.3,   42.4,
