StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
104,0,196001,4.4,45.5,2.42,2.42,0.77,2.27,26,563,0.49,-0.12,-0.34,1.05,1.33,1.5,0.97,35.5,55.5
101,0,196001,3,23.3,1.67,1.67,-0.06,1.57,0,1129,0.05,0.28,0.95,1.15,0.51,0.32,0.32,15.1,31.4
108,0,196001,3.28,23.9,-1.46,-1.46,-1.55,-1.46,0,1028,-0.72,-1.2,-1.34,-0.6,-0.63,-0.83,-0.02,16.7,31
103,0,196001,2.57,32.1,0.63,0.63,-0.23,0.63,0,1067,-0.17,-0.07,-0.2,0.18,-0.23,-0.41,-0.22,24.6,39.6
105,0,196001,0.82,15.6,-0.38,0.84,-0.09,0.06,0,1520,-0.05,-1.16,-0.41,0.48,-0.11,-0.36,-0.52,5.9,25.3
109,0,196001,2.56,34.7,-4.82,-4.82,-1.45,-4.82,0,670,0.02,-0.52,-1.16,-1.22,-1.47,-1.66,-0.49,25.5,43.9
102,0,196001,1.51,15.8,2.76,2.76,1.33,2.76,0,1400,0.86,1.26,0.57,1.75,1.54,1.25,-0.38,7.9,23.6
107,0,196001,1.19,28,-1.12,-1.12,0.74,0.22,0,1032,0.56,1.03,0.51,0.87,0.5,0.17,0.13,16.4,39.6
106,0,196001,2.5,40.4,3.13,3.13,1.62,3.13,7,653,0.37,0.69,0,0.56,1.12,0.77,0.72,30.6,50.3
103,0,196002,2.87,29.8,0.7,0.7,0.4,0.7,0,1026,0.32,-0.05,0,0.26,-0.23,-0.45,-0.05,21.7,37.8
109,0,196002,3.55,38.8,-4.1,-4.1,0.66,-3.8,0,519,0.69,0.37,-0.1,-0.72,-0.86,-1.63,-0.75,28.9,48.6
106,0,196002,2.52,39.7,3.26,3.26,1.36,3.26,1,613,0.37,0.47,0.7,0.68,1.11,0.75,0.81,28.6,50.7
107,0,196002,1.15,30.1,-0.62,-0.62,1.16,1.04,0,904,0.47,0.58,0.99,0.54,0.56,0.17,0.09,18.3,41.8
101,0,196002,4.29,26.9,2.5,2.5,3.01,2.5,0,941,1.59,1.08,1.04,1.48,1.36,0.72,0.48,18.7,35.1
105,0,196002,0.89,16,-0.21,0.88,0.39,0.26,0,1358,0.47,0.17,-0.8,0.8,-0.34,-0.42,-0.58,6.6,25.5
